date,team,player,starter,minutes
2024-07-03,Brazil,Danilo Luiz da Silva,True,90.0
2024-07-03,Brazil,Marcos Aoás Corrêa,True,90.0
2024-07-03,Brazil,Alisson Ramsés Becker,True,90.0
2024-07-03,Brazil,Gabriel dos Santos Magalhães,False,0.0
2024-07-03,Brazil,Douglas Luiz Soares de Paulo,False,4.36666666666666
2024-07-03,Brazil,Andreas Hoelgebaum Pereira,False,45.0
2024-07-03,Brazil,Guilherme Antonio Arana Lopes,False,0.0
2024-07-03,Brazil,Wendell Nascimento Borges,True,85.6
2024-07-03,Brazil,Raphael Dias Belloli,True,90.0
2024-07-03,Brazil,Gleison Bremer Silva Nascimento,False,0.0
2024-07-03,Brazil,Éder Gabriel Militão,True,90.0
2024-07-03,Brazil,Vinícius José Paixão de Oliveira Júnior,True,90.0
2024-07-03,Brazil,Lucas Tolentino Coelho de Lima,True,45.0
2024-07-03,Brazil,Rodrygo Silva de Goes,True,72.93333333333334
2024-07-03,Brazil,Bruno Guimarães Rodriguez Moura,True,84.9
2024-07-03,Brazil,Eduardo Gabriel Aquino Cossa,False,0.0
2024-07-03,Brazil,Rafael Pires Monteiro,False,0.0
2024-07-03,Brazil,Éderson José dos Santos Lourenço da Silva,False,17.349999999999994
2024-07-03,Brazil,Gabriel Teodoro Martinelli Silva,False,0.0
2024-07-03,Brazil,Francisco Evanilson de Lima Barbosa,False,0.0
2024-07-03,Brazil,Bento Matheus Krepski Neto,False,0.0
2024-07-03,Brazil,Sávio Moreira de Oliveira,False,17.066666666666663
2024-07-03,Brazil,João Victor Gomes da Silva,True,72.65
2024-07-03,Brazil,Yan Bueno Couto,False,0.0
2024-07-03,Brazil,Lucas Lopes Beraldo,False,0.0
2024-07-03,Brazil,Endrick Felipe Moreira de Sousa,False,4.400000000000006
2024-07-03,Colombia,Davinson Sánchez Mina,True,90.0
2024-07-03,Colombia,David Ospina Ramírez,False,0.0
2024-07-03,Colombia,Jefferson Andrés Lerma Solís,True,90.0
2024-07-03,Colombia,Johan Andrés Mojica Palacio,False,45.0
2024-07-03,Colombia,Juan Fernando Quintero Paniagua,False,0.0
2024-07-03,Colombia,James David Rodríguez Rubio,True,80.75
2024-07-03,Colombia,Santiago Arias Naranjo,False,0.0
2024-07-03,Colombia,Andrés Mateus Uribe Villa,False,14.766666666666666
2024-07-03,Colombia,Yerry Fernando Mina González,False,0.0
2024-07-03,Colombia,Miguel Ángel Borja Hernández,False,0.0
2024-07-03,Colombia,Jhon Andrés Córdoba Copete,True,75.35
2024-07-03,Colombia,Luis Fernando Sinisterra Lucumí,False,1.0999999999999943
2024-07-03,Colombia,Luis Fernando Díaz Marulanda,True,88.9
2024-07-03,Colombia,Álvaro David Montero Perales,False,0.0
2024-07-03,Colombia,Camilo Andrés Vargas Gil,True,90.0
2024-07-03,Colombia,Jhon Adolfo Arias Andrade,True,90.0
2024-07-03,Colombia,Daniel Muñoz Mejía,True,90.0
2024-07-03,Colombia,Deiver Andrés Machado Mena,True,45.0
2024-07-03,Colombia,Rafael Santos Borré Amaury,False,14.650000000000006
2024-07-03,Colombia,Carlos Eccehomo Cuesta Figueroa,True,90.0
2024-07-03,Colombia,Jorge Andrés Carrascal Guardo,False,9.25
2024-07-03,Colombia,Jhon Jáder Durán Palacio,False,0.0
2024-07-03,Colombia,Richard Rios Montoya,True,75.23333333333333
2024-07-03,Colombia,Kevin Duvan Castaño Gil,False,0.0
2024-07-03,Colombia,Yaser Esneider Asprilla Martínez,False,0.0
2024-07-01,Jamaica,Demarai Gray,True,86.76666666666667
2024-07-01,Jamaica,Kasey Palmer,True,90.0
2024-07-01,Jamaica,Michail Antonio,True,66.18333333333334
2024-07-01,Jamaica,Ethan Pinnock,True,90.0
2024-07-01,Jamaica,Bobby Armani De Cordova-Reid,False,0.0
2024-07-01,Jamaica,Wes Harding,True,66.28333333333333
2024-07-01,Jamaica,Michael Hector,True,90.0
2024-07-01,Jamaica,Shamar Nicholson,False,23.816666666666663
2024-07-01,Jamaica,Joël Latibeaudiere,True,86.81666666666666
2024-07-01,Jamaica,Di'Shon Bernard,False,0.0
2024-07-01,Jamaica,Kevon Jamar Lambert,False,0.0
2024-07-01,Jamaica,Damion Lowe,True,90.0
2024-07-01,Jamaica,Dexter Lembikisa,False,0.0
2024-07-01,Jamaica,Coniah Boyce-Clarke,False,0.0
2024-07-01,Jamaica,Jonathan Bell,True,90.0
2024-07-01,Jamaica,Alexander Andre Marshsall,False,3.2333333333333343
2024-07-01,Jamaica,Richard Larkland King,False,3.183333333333337
2024-07-01,Jamaica,Karoy Anderson,False,23.71666666666667
2024-07-01,Jamaica,Jahmali Waite,True,90.0
2024-07-01,Jamaica,Renaldo Showayne Cephas,True,45.0
2024-07-01,Jamaica,Shaquan Davis,False,0.0
2024-07-01,Jamaica,Kaheim Dixon,False,45.0
2024-07-01,Venezuela,José Salomón Rondón Giménez,True,80.73333333333333
2024-07-01,Venezuela,Tomás Eduardo Rincón Hernández,False,30.116666666666667
2024-07-01,Venezuela,Yordan Hernando Osorio Paredes,True,90.0
2024-07-01,Venezuela,Jhonder Leonel Cádiz Fernández,False,0.0
2024-07-01,Venezuela,Darwin Daniel Machís Marcano,True,59.416666666666664
2024-07-01,Venezuela,Jefferson David Savarino Quintero,False,0.0
2024-07-01,Venezuela,Cristian Sleiker Cásseres Yepes,False,0.0
2024-07-01,Venezuela,Yangel Clemente Herrera Ravelo,True,59.88333333333333
2024-07-01,Venezuela,José David Contreras Bernard,False,0.0
2024-07-01,Venezuela,Alexander David González Sibulo,True,90.0
2024-07-01,Venezuela,Yeferson Julio Soteldo Martínez,False,30.583333333333336
2024-07-01,Venezuela,Jhon Carlos Chancellor Cedeño,False,0.0
2024-07-01,Venezuela,Rafael Enrique Romo Pérez,True,90.0
2024-07-01,Venezuela,Eduard Alexander Bello Gil,True,90.0
2024-07-01,Venezuela,Christian Frederick Bayoi Makoun Reyes,False,9.049999999999997
2024-07-01,Venezuela,Miguel Ángel Navarro Zárate,False,0.0
2024-07-01,Venezuela,Joel David Graterol Nader,False,0.0
2024-07-01,Venezuela,José Andrés Martínez Torres,True,90.0
2024-07-01,Venezuela,Eric Kleybel Ramírez Matheus,False,9.266666666666666
2024-07-01,Venezuela,Wilker José Ángel Romero,True,90.0
2024-07-01,Venezuela,Nahuel Adolfo Ferraresi Hernández,False,0.0
2024-07-01,Venezuela,Daniel Alejandro Pereira Gil,False,0.0
2024-07-01,Venezuela,Jon Mikel Aramburu Mejías,True,80.95
2024-07-01,Venezuela,Kervin Mario Andrade Navarro,False,16.58333333333333
2024-07-01,Venezuela,Matías Rafael Lacava González,False,0.0
2024-07-01,Venezuela,Telasco José Segovia Pérez,True,73.41666666666667
2024-06-28,Uruguay,Luis Alberto Suárez Díaz,False,7.683333333333337
2024-06-28,Uruguay,Nahitan Michel Nández Acosta,True,90.0
2024-06-28,Uruguay,Giorgian Daniel De Arrascaeta Benedetti,False,1.9333333333333371
2024-06-28,Uruguay,José María Giménez de Vargas,False,0.0
2024-06-28,Uruguay,Rodrigo Bentancur Colmán,False,4.900000000000006
2024-06-28,Uruguay,Guillermo Varela Olivera,False,0.0
2024-06-28,Uruguay,Federico Santiago Valverde Dipetta,True,85.1
2024-06-28,Uruguay,Mathías Olivera Miramontes,True,90.0
2024-06-28,Uruguay,Lucas René Olaza Catrofe,False,8.066666666666663
2024-06-28,Uruguay,Diego Nicolás De La Cruz Arcosa,True,88.06666666666666
2024-06-28,Uruguay,Paul Brian Rodríguez Bravo,False,0.0
2024-06-28,Uruguay,Darwin Gabriel Núñez Ribeiro,True,82.31666666666666
2024-06-28,Uruguay,Ronald Federico Araújo da Silva,True,90.0
2024-06-28,Uruguay,Matías Nicolás Viña Susperreguy,True,81.93333333333334
2024-06-28,Uruguay,Maximiliano Javier Araújo Vilches,True,90.0
2024-06-28,Uruguay,Sebastián Enzo Cáceres Ramos,False,0.0
2024-06-28,Uruguay,Facundo Pellistri Rebollo,True,85.05
2024-06-28,Uruguay,Manuel Ugarte Ribeiro,True,90.0
2024-06-28,Uruguay,Agustín Canobbio Graviz,False,0.0
2024-06-28,Uruguay,Brian Alexis Ocampo Ferreira,False,0.0
2024-06-28,Uruguay,Cristian Gonzalo Olivera Ibarra,False,4.950000000000003
2024-06-28,Uruguay,Sergio Rochet Álvarez,True,90.0
2024-06-28,Uruguay,Emiliano Martínez Toranza,False,0.0
2024-06-28,Uruguay,Santiago Andrés Mele Castanero,False,0.0
2024-06-28,Uruguay,Franco Israel Wibmer,False,0.0
2024-06-28,Uruguay,Nicolás Marichal Pérez,False,0.0
2024-06-28,Bolivia,Bruno Miranda Villagomez,False,0.0
2024-06-28,Bolivia,Boris Cespedes,True,90.0
2024-06-28,Bolivia,Luis Fernando Haquín Lopez,True,90.0
2024-06-28,Bolivia,Jaume Cuéllar Mendoza,False,16.233333333333334
2024-06-28,Bolivia,Adrian Jhonny Jusino Cerruto,False,0.0
2024-06-28,Bolivia,Roberto Carlos Fernández Toro,True,45.0
2024-06-28,Bolivia,Guillermo Viscarra Bruckner,True,90.0
2024-06-28,Bolivia,Leonel Justiniano Arauz,False,0.0
2024-06-28,Bolivia,Carlos Emilio Lampe Porras,False,0.0
2024-06-28,Bolivia,Rodrigo Luis Ramallo Cornejo,False,0.0
2024-06-28,Bolivia,Fernando Javier Saucedo Pereyra,False,0.0
2024-06-28,Bolivia,Carmelo Algarañaz Añez,True,81.78333333333333
2024-06-28,Bolivia,César Alejandro Menacho Claros,False,0.0
2024-06-28,Bolivia,Gabriel Alejandro Villamíl Cortéz,True,90.0
2024-06-28,Bolivia,Lucas Leónidas Chávez Cruz,False,22.566666666666663
2024-06-28,Bolivia,Ramiro Vaca Ponce,True,73.76666666666667
2024-06-28,Bolivia,José Manuel Sagredo Chávez,True,90.0
2024-06-28,Bolivia,Jesús Manuel Sagredo Chávez,False,0.0
2024-06-28,Bolivia,Marcelo Sebastián Suárez Justiniano,False,45.0
2024-06-28,Bolivia,Diego Daniel Medina Roman,False,16.266666666666666
2024-06-28,Bolivia,Robson Matheus Tome de Araujo Benegas,False,0.0
2024-06-28,Bolivia,Miguel Ángel Terceros,True,67.43333333333334
2024-06-28,Bolivia,Yomar Rene Rocha Rodriguez,True,73.73333333333333
2024-06-28,Bolivia,Adalid Terrazas Abasto,False,8.216666666666669
2024-06-28,Bolivia,Gustavo Javier Almada Gonzales,False,0.0
2024-06-28,Bolivia,Héctor Manuel Cuellar Rosales,True,90.0
2024-06-22,Chile,Alexis Alejandro Sánchez Sánchez,True,90.0
2024-06-22,Chile,Claudio Andrés Bravo Muñoz,True,90.0
2024-06-22,Chile,Ben Brereton Díaz,False,25.66666666666667
2024-06-22,Chile,Guillermo Alfonso Maripán Loaysa,False,0.0
2024-06-22,Chile,Erick Antonio Pulgar Farfán,True,90.0
2024-06-22,Chile,Mauricio Aníbal Isla Isla,True,90.0
2024-06-22,Chile,Igor Lichnovsky Osorio,True,90.0
2024-06-22,Chile,Diego Alfonso Valdés Contreras,True,88.53333333333333
2024-06-22,Chile,Eduardo Jesús Vargas Rojas,True,64.33333333333333
2024-06-22,Chile,Matías Ezequiel Catalán,False,0.0
2024-06-22,Chile,Gabriel Arias Arroyo,False,0.0
2024-06-22,Chile,Víctor Alejandro Dávila Zavala,True,63.983333333333334
2024-06-22,Chile,Paulo César Díaz Huincales,True,90.0
2024-06-22,Chile,Rodrigo Eduardo Echeverría Sáez,False,5.950000000000003
2024-06-22,Chile,Benjamín Kuscevic Jaramillo,False,0.0
2024-06-22,Chile,Marcos Nikolas Bolados Hidalgo,False,26.016666666666666
2024-06-22,Chile,Brayan Josué Cortés Fernández,False,0.0
2024-06-22,Chile,Nicolás Esteban Fernández Muñoz,False,0.0
2024-06-22,Chile,Gabriel Alonso Suazo Urbina,True,90.0
2024-06-22,Chile,Marcelino Ignacio Nuñez Espinoza,True,84.05
2024-06-22,Chile,Thomas Ignacio Galdames Millán,False,0.0
2024-06-22,Chile,Cristián Alexander Zavala Briones,False,0.0
2024-06-22,Chile,Esteban Andres Pavez Suazo,False,0.0
2024-06-22,Chile,Maximiliano Gabriel Guerrero Pena,False,0.0
2024-06-22,Chile,Darío Esteban Osorio Osorio,False,45.0
2024-06-22,Chile,César Ignacio Pérez Maldonado,False,0.0
2024-06-22,Peru,André Martín Carrillo Díaz,False,0.0
2024-06-22,Peru,Christian Alberto Cueva Bravo,False,0.0
2024-06-22,Peru,Luis Jan Piers Advíncula Castrillón,True,34.11666666666667
2024-06-22,Peru,Édison Michael Flores Peralta,True,70.9
2024-06-22,Peru,Pedro David Gallese Quiróz,True,90.0
2024-06-22,Peru,José Paolo Guerrero Gonzáles,False,19.099999999999994
2024-06-22,Peru,Anderson Santamaría Bardales,False,0.0
2024-06-22,Peru,Wilder José Cartagena Mendoza,True,90.0
2024-06-22,Peru,Gianluca Lapadula Vargas,True,90.0
2024-06-22,Peru,Sergio Fernando Peña Flores,True,90.0
2024-06-22,Peru,Andy Jorman Polo Andrade,True,83.51666666666667
2024-06-22,Peru,Alexander Martín Marquinho Callens Asín,True,83.63333333333334
2024-06-22,Peru,Marcos Johan López Lanfranco,False,55.88333333333333
2024-06-22,Peru,Luis Alfonso Abram Ugarelli,False,6.36666666666666
2024-06-22,Peru,Miguel Gianpierre Araujo Blanco,True,90.0
2024-06-22,Peru,Aldo Sebastián Corzo Chávez,False,0.0
2024-06-22,Peru,Carlos Alberto Cáceda Oyaguez,False,0.0
2024-06-22,Peru,Jesús Abdallah Castillo Molina,False,0.0
2024-06-22,Peru,Carlos Augusto Zambrano Ochandarte,True,90.0
2024-06-22,Peru,José Daniel Rivera Martínez,False,0.0
2024-06-22,Peru,Joao Alberto Grimaldo Ubidia,False,19.349999999999994
2024-06-22,Peru,Franco Zanelatto Téllez,False,0.0
2024-06-22,Peru,Diego Alonso Romero Cachay,False,0.0
2024-06-22,Peru,Piero Aldair Quispe Córdova,True,70.65
2024-06-22,Peru,Brayan Roberto Reyna Casaverde,False,0.0
2024-06-22,Peru,Oliver Sonne,False,6.483333333333334
2024-06-26,Jamaica,Gregory Leigh,True,90.0
2024-06-26,Jamaica,Demarai Gray,False,45.0
2024-06-26,Jamaica,Kasey Palmer,True,90.0
2024-06-26,Jamaica,Michail Antonio,True,90.0
2024-06-26,Jamaica,Ethan Pinnock,True,90.0
2024-06-26,Jamaica,Bobby Armani De Cordova-Reid,True,90.0
2024-06-26,Jamaica,Wes Harding,False,0.0
2024-06-26,Jamaica,Michael Hector,False,45.0
2024-06-26,Jamaica,Shamar Nicholson,True,82.86666666666666
2024-06-26,Jamaica,Joël Latibeaudiere,True,83.06666666666666
2024-06-26,Jamaica,Di'Shon Bernard,True,45.0
2024-06-26,Jamaica,Kevon Jamar Lambert,False,0.0
2024-06-26,Jamaica,Damion Lowe,True,45.0
2024-06-26,Jamaica,Dexter Lembikisa,True,87.91666666666667
2024-06-26,Jamaica,Coniah Boyce-Clarke,False,0.0
2024-06-26,Jamaica,Jonathan Bell,False,0.0
2024-06-26,Jamaica,Alexander Andre Marshsall,False,0.0
2024-06-26,Jamaica,Richard Larkland King,False,0.0
2024-06-26,Jamaica,Karoy Anderson,False,6.933333333333337
2024-06-26,Jamaica,Jahmali Waite,True,90.0
2024-06-26,Jamaica,Renaldo Showayne Cephas,False,2.0833333333333286
2024-06-26,Jamaica,Shaquan Davis,False,0.0
2024-06-26,Jamaica,Kaheim Dixon,False,7.13333333333334
2024-06-26,Ecuador,Carlos Armando Gruezo Arboleda,False,2.816666666666663
2024-06-26,Ecuador,John Yeboah Zamora,True,63.55
2024-06-26,Ecuador,Ángel Israel Mena Delgado,False,0.0
2024-06-26,Ecuador,Felix Eduardo Torres Caicedo,True,90.0
2024-06-26,Ecuador,Alexander Domínguez Carabalí,True,90.0
2024-06-26,Ecuador,José Adoni Cifuentes Charcopa,False,0.0
2024-06-26,Ecuador,Hernán Ismael Galíndez,False,0.0
2024-06-26,Ecuador,Janner Hitcler Corozo Alman,False,0.0
2024-06-26,Ecuador,Julio Joao Ortiz Landázuri,False,0.0
2024-06-26,Ecuador,Moisés Isaac Caicedo Corozo,True,90.0
2024-06-26,Ecuador,Angelo Smit Preciado Quiñónez,True,90.0
2024-06-26,Ecuador,Wellington Moisés Ramírez Preciado,False,0.0
2024-06-26,Ecuador,Alan Steven Franco Palma,True,90.0
2024-06-26,Ecuador,Piero Martín Hincapié Reyna,True,90.0
2024-06-26,Ecuador,Jeremy Leonel Sarmiento Morante,True,94.4
2024-06-26,Ecuador,Willian Joel Pacho Tenorio,True,90.0
2024-06-26,Ecuador,Jackson Gabriel Porozo Vernaza,False,0.0
2024-06-26,Ecuador,José Andrés Hurtado Cheme,False,0.0
2024-06-26,Ecuador,Jordy Josué Caicedo Medina,False,3.066666666666663
2024-06-26,Ecuador,Alan Steve Minda García,False,26.450000000000003
2024-06-26,Ecuador,Joel Leandro Ordóñez Guerrero,False,0.0
2024-06-26,Ecuador,Layan Manuel Loor Requelme,False,0.0
2024-06-26,Ecuador,Kevin José Rodríguez Cortez,True,86.53333333333333
2024-06-26,Ecuador,Ray Kendry Páez Andrade,True,87.18333333333334
2024-06-26,Ecuador,Norman Andres Micolta Arroyo,False,0.0
2024-06-26,Argentina,Ángel Fabián Di María Hernández,False,17.78333333333333
2024-06-26,Argentina,Nicolás Hernán Otamendi,False,0.0
2024-06-26,Argentina,Giovani Lo Celso,False,26.31666666666667
2024-06-26,Argentina,Lionel Andrés Messi Cuccittini,True,89.11666666666667
2024-06-26,Argentina,Nicolás Alejandro Tagliafico,True,82.76666666666667
2024-06-26,Argentina,Franco Armani,False,0.0
2024-06-26,Argentina,Gerónimo Rulli,False,0.0
2024-06-26,Argentina,Damián Emiliano Martínez,True,90.0
2024-06-26,Argentina,Germán Alejandro Pezzella,False,0.0
2024-06-26,Argentina,Rodrigo Javier De Paul,True,90.0
2024-06-26,Argentina,Lautaro Javier Martínez,False,17.816666666666663
2024-06-26,Argentina,Leandro Daniel Paredes,False,0.0
2024-06-26,Argentina,Marcos Javier Acuña,False,7.766666666666666
2024-06-26,Argentina,Cristian Gabriel Romero,True,90.0
2024-06-26,Argentina,Nicolás Iván González,True,72.21666666666667
