group,team
A,Mexico
A,South Africa
A,South Korea
A,Czech Republic
B,Canada
B,Switzerland
B,Bosnia and Herzegovina
B,Qatar
C,Brazil
C,Scotland
C,Morocco
C,Haiti
D,United States
D,Australia
D,Paraguay
D,Turkey
E,Germany
E,Curaçao
E,Ivory Coast
E,Ecuador
F,Netherlands
F,Japan
F,Sweden
F,Tunisia
G,Belgium
G,Egypt
G,Iran
G,New Zealand
H,Spain
H,Uruguay
H,Saudi Arabia
H,Cape Verde
I,France
I,Norway
I,Senegal
I,Iraq
J,Argentina
J,Austria
J,Algeria
J,Jordan
K,Portugal
K,Colombia
K,Uzbekistan
K,DR Congo
L,England
L,Croatia
L,Ghana
L,Panama
